mode,selectivity,threshold,query_idx,query,strategy,recall_at_k,completeness_at_k,n_returned,candidates,gls_rho,lat_p50_ms,lat_p95_ms
uncorrelated,0.4993837051645507,500,7,মন্ত্রিসভার সিদ্ধান্ত,iterative,0.9,1.0,10,20,0.029742354266774806,9.364337951410562,9.696600888855755
uncorrelated,0.4993837051645507,500,8,কৃত্রিম বুদ্ধিমত্তা,pre_filter,1.0,1.0,10,10,0.04823430608493423,2107.4524740106426,2164.8260348651092
uncorrelated,0.4993837051645507,500,8,কৃত্রিম বুদ্ধিমত্তা,post_filter,0.4,0.4,4,10,0.04823430608493423,4.557203035801649,4.57760778372176
uncorrelated,0.4993837051645507,500,8,কৃত্রিম বুদ্ধিমত্তা,over_fetch,0.9,1.0,10,100,0.04823430608493423,4.975705989636481,5.038104805862531
uncorrelated,0.4993837051645507,500,8,কৃত্রিম বুদ্ধিমত্তা,iterative,0.9,1.0,10,40,0.04823430608493423,14.171193994116038,14.21180740580894
uncorrelated,0.4993837051645507,500,9,তথ্য প্রযুক্তি,pre_filter,0.9,1.0,10,10,0.029742354266774806,2153.423156007193,2219.1529765957966
uncorrelated,0.4993837051645507,500,9,তথ্য প্রযুক্তি,post_filter,0.5,0.5,5,10,0.029742354266774806,4.74634999409318,4.7467379190493375
uncorrelated,0.4993837051645507,500,9,তথ্য প্রযুক্তি,over_fetch,0.8,1.0,10,100,0.029742354266774806,5.070896004326642,5.134268588153645
uncorrelated,0.4993837051645507,500,9,তথ্য প্রযুক্তি,iterative,0.8,1.0,10,40,0.029742354266774806,15.385598002467304,15.440403495449573
uncorrelated,0.4993837051645507,500,10,মোবাইল ইন্টারনেট,pre_filter,1.0,1.0,10,10,0.05721845119944905,2132.3807790176943,2185.837528225966
uncorrelated,0.4993837051645507,500,10,মোবাইল ইন্টারনেট,post_filter,0.4,0.4,4,10,0.05721845119944905,4.569204989820719,4.727355681825429
uncorrelated,0.4993837051645507,500,10,মোবাইল ইন্টারনেট,over_fetch,1.0,1.0,10,100,0.05721845119944905,5.140958994161338,7.756720785982907
uncorrelated,0.4993837051645507,500,10,মোবাইল ইন্টারনেট,iterative,1.0,1.0,10,40,0.05721845119944905,13.837430975399911,16.204826079774648
uncorrelated,0.4993837051645507,500,11,সাইবার নিরাপত্তা,pre_filter,1.0,1.0,10,10,-0.05201659233870178,2073.0388480005786,2105.7206479192246
uncorrelated,0.4993837051645507,500,11,সাইবার নিরাপত্তা,post_filter,0.4,0.4,4,10,-0.05201659233870178,5.1153109525330365,6.5773519687354565
uncorrelated,0.4993837051645507,500,11,সাইবার নিরাপত্তা,over_fetch,0.9,1.0,10,100,-0.05201659233870178,5.036802031099796,5.159768112935126
uncorrelated,0.4993837051645507,500,11,সাইবার নিরাপত্তা,iterative,0.9,1.0,10,40,-0.05201659233870178,16.599439026322216,16.799005906796083
uncorrelated,0.4993837051645507,500,12,বাংলাদেশ ক্রিকেট দল,pre_filter,1.0,1.0,10,10,0.010517600770777912,2071.9129090430215,2081.919840699993
uncorrelated,0.4993837051645507,500,12,বাংলাদেশ ক্রিকেট দল,post_filter,0.6,0.6,6,10,0.010517600770777912,6.259319954551756,6.3396269688382745
uncorrelated,0.4993837051645507,500,12,বাংলাদেশ ক্রিকেট দল,over_fetch,1.0,1.0,10,100,0.010517600770777912,6.223752978257835,6.357079930603504
uncorrelated,0.4993837051645507,500,12,বাংলাদেশ ক্রিকেট দল,iterative,1.0,1.0,10,20,0.010517600770777912,8.893685997463763,10.27988488203846
uncorrelated,0.4993837051645507,500,13,ফুটবল ম্যাচ,pre_filter,1.0,1.0,10,10,0.010517600770777912,2090.484020009171,2115.5478634755127
uncorrelated,0.4993837051645507,500,13,ফুটবল ম্যাচ,post_filter,0.5,0.5,5,10,0.010517600770777912,5.2190080168657005,5.33771708724089
uncorrelated,0.4993837051645507,500,13,ফুটবল ম্যাচ,over_fetch,0.9,1.0,10,100,0.010517600770777912,6.431676971260458,6.528015685034916
uncorrelated,0.4993837051645507,500,13,ফুটবল ম্যাচ,iterative,0.9,1.0,10,20,0.010517600770777912,10.987677029334009,11.03686559945345
uncorrelated,0.4993837051645507,500,14,বিশ্বকাপ ক্রিকেট,pre_filter,0.9,1.0,10,10,-0.01979173745931786,2129.8862799885683,2133.472632430494
uncorrelated,0.4993837051645507,500,14,বিশ্বকাপ ক্রিকেট,post_filter,0.5,0.5,5,10,-0.01979173745931786,5.024548037908971,5.335494433529675
