selectivity,mult,query_idx,recall_at_k,completeness_at_k,candidates,lat_p50_ms
0.09938781379678704,50,4,1.0,1.0,500,7.239639002364129
0.09938781379678704,100,4,1.0,1.0,1000,11.696841043885797
0.09938781379678704,1,5,0.0,0.0,10,3.7094049621373415
0.09938781379678704,2,5,0.1,0.1,20,3.799425030592829
0.09938781379678704,5,5,0.2,0.2,50,4.072523035574704
0.09938781379678704,10,5,0.9,1.0,100,4.6399179846048355
0.09938781379678704,20,5,1.0,1.0,200,4.989571985788643
0.09938781379678704,50,5,1.0,1.0,500,6.666702043730766
0.09938781379678704,100,5,1.0,1.0,1000,9.508289978839457
0.09938781379678704,1,6,0.1,0.1,10,4.156553011853248
0.09938781379678704,2,6,0.3,0.3,20,4.050971998367459
0.09938781379678704,5,6,0.8,0.8,50,4.160829994361848
0.09938781379678704,10,6,1.0,1.0,100,4.416606039740145
0.09938781379678704,20,6,1.0,1.0,200,4.8410199815407395
0.09938781379678704,50,6,1.0,1.0,500,6.829161022324115
0.09938781379678704,100,6,1.0,1.0,1000,11.565051041543484
0.09938781379678704,1,7,0.0,0.0,10,4.105154017452151
0.09938781379678704,2,7,0.0,0.0,20,4.3331170454621315
0.09938781379678704,5,7,0.4,0.4,50,4.1181090055033565
0.09938781379678704,10,7,0.7,1.0,100,4.626081965398043
0.09938781379678704,20,7,0.9,1.0,200,5.1113219815306365
0.09938781379678704,50,7,1.0,1.0,500,8.19940899964422
0.09938781379678704,100,7,1.0,1.0,1000,12.861458992119879
0.09938781379678704,1,8,0.0,0.0,10,4.16655105073005
0.09938781379678704,2,8,0.1,0.1,20,4.355990036856383
0.09938781379678704,5,8,0.6,0.6,50,4.433005989994854
0.09938781379678704,10,8,0.7,1.0,100,4.608137998729944
0.09938781379678704,20,8,0.9,1.0,200,5.060627008788288
0.09938781379678704,50,8,0.9,1.0,500,7.814809971023351
0.09938781379678704,100,8,1.0,1.0,1000,13.266115973237902
0.09938781379678704,1,9,0.2,0.2,10,4.146052990108728
0.09938781379678704,2,9,0.3,0.3,20,4.072192998137325
0.09938781379678704,5,9,0.8,0.8,50,4.154427966568619
0.09938781379678704,10,9,0.9,1.0,100,4.472100001294166
0.09938781379678704,20,9,0.9,1.0,200,5.185182031709701
0.09938781379678704,50,9,1.0,1.0,500,7.4727709870785475
0.09938781379678704,100,9,1.0,1.0,1000,12.421776016708463
0.09938781379678704,1,10,0.2,0.2,10,4.260139015968889
0.09938781379678704,2,10,0.2,0.2,20,3.972263017203659
0.09938781379678704,5,10,0.7,0.7,50,4.131274006795138
0.09938781379678704,10,10,1.0,1.0,100,4.3952150153927505
0.09938781379678704,20,10,1.0,1.0,200,4.875554994214326
0.09938781379678704,50,10,1.0,1.0,500,6.424802995752543
0.09938781379678704,100,10,1.0,1.0,1000,11.493033962324262
0.09938781379678704,1,11,0.1,0.1,10,4.276028950698674
0.09938781379678704,2,11,0.2,0.2,20,4.2555800173431635
0.09938781379678704,5,11,0.5,0.5,50,4.4033610029146075
0.09938781379678704,10,11,0.9,0.9,100,4.370016977190971
0.09938781379678704,20,11,1.0,1.0,200,4.731402033939958
0.09938781379678704,50,11,1.0,1.0,500,6.741193006746471
0.09938781379678704,100,11,1.0,1.0,1000,11.186663003172725
0.09938781379678704,1,12,0.1,0.1,10,3.970980003941804
0.09938781379678704,2,12,0.2,0.2,20,3.8772219559177756
0.09938781379678704,5,12,0.5,0.5,50,3.992190002463758
0.09938781379678704,10,12,1.0,1.0,100,4.411344998516142
0.09938781379678704,20,12,1.0,1.0,200,4.851640027482063
0.09938781379678704,50,12,1.0,1.0,500,6.502138974610716
0.09938781379678704,100,12,1.0,1.0,1000,9.665357996709645
0.09938781379678704,1,13,0.1,0.1,10,3.8963989936746657
0.09938781379678704,2,13,0.3,0.3,20,4.112549009732902
0.09938781379678704,5,13,0.6,0.6,50,4.250889993272722
0.09938781379678704,10,13,0.6,0.6,100,4.42232599016279
0.09938781379678704,20,13,1.0,1.0,200,4.746651044115424
0.09938781379678704,50,13,1.0,1.0,500,7.3769689770415425
0.09938781379678704,100,13,1.0,1.0,1000,11.485459981486201
0.09938781379678704,1,14,0.0,0.0,10,4.82500996440649
0.09938781379678704,2,14,0.0,0.0,20,4.56300302175805
0.09938781379678704,5,14,0.3,0.3,50,4.0757390088401735
0.09938781379678704,10,14,0.8,0.8,100,4.452543973457068
0.09938781379678704,20,14,1.0,1.0,200,4.945357039105147
0.09938781379678704,50,14,1.0,1.0,500,7.030442007817328
0.09938781379678704,100,14,1.0,1.0,1000,11.888323992025107
0.09938781379678704,1,15,0.1,0.1,10,4.009583033621311
0.09938781379678704,2,15,0.2,0.2,20,4.154036985710263
0.09938781379678704,5,15,0.5,0.5,50,4.383212013635784
0.09938781379678704,10,15,1.0,1.0,100,4.568473028484732
0.09938781379678704,20,15,1.0,1.0,200,4.938295052852482
0.09938781379678704,50,15,1.0,1.0,500,6.639711034949869
0.09938781379678704,100,15,1.0,1.0,1000,11.33311097510159
0.09938781379678704,1,16,0.1,0.1,10,4.104955005459487
0.09938781379678704,2,16,0.3,0.3,20,4.0583660011179745
0.09938781379678704,5,16,0.8,0.8,50,4.172060987912118
0.09938781379678704,10,16,0.9,1.0,100,4.2444790014997125
0.09938781379678704,20,16,1.0,1.0,200,4.786697041708976
0.09938781379678704,50,16,1.0,1.0,500,7.12759600719437
0.09938781379678704,100,16,1.0,1.0,1000,13.132643012795597
0.09938781379678704,1,17,0.1,0.1,10,4.039109975565225
0.09938781379678704,2,17,0.4,0.4,20,3.92195803578943
0.09938781379678704,5,17,0.8,0.8,50,4.08882403280586
0.09938781379678704,10,17,1.0,1.0,100,4.457834002096206
